COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,SCHOOL_NAME,SUBJECT,TESTED,Mean,Level1,Level2,Level3,Level4,Level5,MET_EXCEED
1,10,50,ATLANTIC  ,ABSECON CITY,EMMA C ATTALES          ,ELA,251,750.8,6,15.2,24.8,42.8,11,53.8
1,10,50,ATLANTIC  ,ABSECON CITY,EMMA C ATTALES          ,Math,223,738,8,15.3,43,32,2,34
1,110,30,ATLANTIC  ,ATLANTIC CITY,SOVEREIGN AVE SCHOOL     ,ELA,382,731.8,17.7,20.8,29.8,29.2,2.8,31.8
1,110,30,ATLANTIC  ,ATLANTIC CITY,SOVEREIGN AVE SCHOOL     ,Math,357,733.5,11.5,25.2,34.5,25.8,3,28.8
1,110,50,ATLANTIC  ,ATLANTIC CITY,CHELSEA HEIGHTS          ,ELA,181,750.7,3.7,15.2,29,42.8,9.3,52
1,110,50,ATLANTIC  ,ATLANTIC CITY,CHELSEA HEIGHTS          ,Math,178,739.2,4.7,27.8,31.2,34.7,1.7,36.3
1,110,60,ATLANTIC  ,ATLANTIC CITY,TEXAS AVENUE             ,ELA,315,729.5,15.5,32,28.3,21.7,2.3,24.2
1,110,60,ATLANTIC  ,ATLANTIC CITY,TEXAS AVENUE             ,Math,298,729.5,11.2,34,32.2,21.2,1.5,23
1,110,70,ATLANTIC  ,ATLANTIC CITY,NEW YORK AVENUE SCHOOL   ,ELA,137,717.7,29.7,30.3,22.7,17.7,0,17.7
1,110,70,ATLANTIC  ,ATLANTIC CITY,NEW YORK AVENUE SCHOOL   ,Math,100,714.5,24.5,40,23.5,11,0,11
1,110,80,ATLANTIC  ,ATLANTIC CITY,UPTOWN SCHOOL COMPLEX    ,ELA,334,719.2,26.5,29.5,28.8,14.3,0.7,15
1,110,80,ATLANTIC  ,ATLANTIC CITY,UPTOWN SCHOOL COMPLEX    ,Math,161,726,15,33.7,31,18,2.3,20.3
1,110,100,ATLANTIC  ,ATLANTIC CITY,PENNSYLVANIA AVE SCHOOL    ,ELA,189,720,28.5,29,24.5,17,1,18
1,110,100,ATLANTIC  ,ATLANTIC CITY,PENNSYLVANIA AVE SCHOOL    ,Math,130,721.7,21.7,36.3,24.7,16,1.7,17.7
1,110,120,ATLANTIC  ,ATLANTIC CITY,RICHMOND AVE             ,ELA,291,740.5,10,19.5,35.8,28,7.2,35
1,110,120,ATLANTIC  ,ATLANTIC CITY,RICHMOND AVE             ,Math,274,736.8,8.3,30.7,27.5,28.8,4.8,33.3
1,110,140,ATLANTIC  ,ATLANTIC CITY,DR M L KING JR SCH COMP  ,ELA,288,727.8,19.2,24.7,31.3,23.7,1,24.7
1,110,140,ATLANTIC  ,ATLANTIC CITY,DR M L KING JR SCH COMP  ,Math,176,728.8,13.5,30.8,31.8,23.5,0.5,24
1,110,300,ATLANTIC  ,ATLANTIC CITY,BRIGHTON AVENUE SCHOOL,ELA,113,737,16,20.3,27,32.7,4.3,37
1,110,300,ATLANTIC  ,ATLANTIC CITY,BRIGHTON AVENUE SCHOOL,Math,115,737.7,5,29.7,31,32,2.7,34.7
1,570,30,ATLANTIC  ,BRIGANTINE CITY,BRIGANTINE NORTH SCHOOL  ,ELA,189,743,8.2,18.5,29.5,41,2.8,43.8
1,570,30,ATLANTIC  ,BRIGANTINE CITY,BRIGANTINE NORTH SCHOOL  ,Math,173,727,18,30,31.5,20,0.8,20.8
1,590,30,ATLANTIC  ,BUENA REGIONAL,BUENA REGIONAL MIDDLE SCHOOL,ELA,313,730.3,19,23.3,31.3,24.3,2.3,26.7
1,590,30,ATLANTIC  ,BUENA REGIONAL,BUENA REGIONAL MIDDLE SCHOOL,Math,294,735,9,27,29,33.3,1.7,35
1,1300,30,ATLANTIC  ,EGG HARBOR CITY,EGG HARBOR CITY COMMUNITY SCHOOL,ELA,164,725,21.5,28.2,29.8,19,1.8,21
1,1300,30,ATLANTIC  ,EGG HARBOR CITY,EGG HARBOR CITY COMMUNITY SCHOOL,Math,111,725,18.3,31.7,31.7,16,2,18
1,1310,38,ATLANTIC  ,EGG HARBOR TOWNSHIP,ALDER AVENUE MIDDLE,ELA,777,746.3,10,16.7,25.3,38,10,48
1,1310,38,ATLANTIC  ,EGG HARBOR TOWNSHIP,ALDER AVENUE MIDDLE,Math,695,732.7,12.3,26.3,34,23.7,3.3,27
1,1310,39,ATLANTIC  ,EGG HARBOR TOWNSHIP,FERNWOOD AVENUE MIDDLE,ELA,786,753.7,6.3,12.7,23.7,43.7,14.3,57.7
1,1310,39,ATLANTIC  ,EGG HARBOR TOWNSHIP,FERNWOOD AVENUE MIDDLE,Math,709,737,8.7,23,33.7,32.7,1.7,34.3
1,1410,50,ATLANTIC  ,ESTELL MANOR CITY,ESTELL MANOR ELEM SCH    ,ELA,101,748.3,8.3,14.7,26.8,43,7.2,50.3
1,1410,50,ATLANTIC  ,ESTELL MANOR CITY,ESTELL MANOR ELEM SCH    ,Math,80,747.4,8,15,28,40.6,8.4,48.8
1,1540,50,ATLANTIC  ,FOLSOM BORO,FOLSOM                   ,ELA,265,739.8,9.8,17.7,33.8,35.7,2.5,38.2
1,1540,50,ATLANTIC  ,FOLSOM BORO,FOLSOM                   ,Math,247,734.5,4.3,30.2,41,24.2,0.3,24.7
1,1690,16,ATLANTIC  ,GALLOWAY TWP,GALLOWAY TWP MIDDLE SCH  ,ELA,664,749,7.5,16,26,39.5,11,50.5
1,1690,16,ATLANTIC  ,GALLOWAY TWP,GALLOWAY TWP MIDDLE SCH  ,Math,584,736,10,22,36,29.5,2.5,32
1,1940,120,ATLANTIC  ,HAMILTON TWP,WILLIAM DAVIES MIDDLE SCH,ELA,904,744,11,19.7,23.7,38,8,46
1,1940,120,ATLANTIC  ,HAMILTON TWP,WILLIAM DAVIES MIDDLE SCH,Math,804,731.3,10.7,31,33,24,1.3,25.3
1,1960,60,ATLANTIC  ,HAMMONTON TOWN,HAMMONTON MIDDLE SCH     ,ELA,655,747,9.7,15.7,24.7,39.3,10.7,49.7
1,1960,60,ATLANTIC  ,HAMMONTON TOWN,HAMMONTON MIDDLE SCH     ,Math,578,736.3,11.3,23,32.3,30.7,2.3,33
1,2680,20,ATLANTIC  ,LINWOOD CITY,BELHAVEN MIDDLE SCH      ,ELA,353,776.2,0.5,3.5,9.8,58.8,27.2,86
1,2680,20,ATLANTIC  ,LINWOOD CITY,BELHAVEN MIDDLE SCH      ,Math,306,755.8,1.2,7.8,29,55.5,6.2,61.8
1,3020,10,ATLANTIC  ,MARGATE CITY,EUGENE A TIGHE MID SCH   ,ELA,137,770,0.8,3,20.8,51.2,24.2,75.5
1,3020,10,ATLANTIC  ,MARGATE CITY,EUGENE A TIGHE MID SCH   ,Math,120,758.3,0.7,9.7,21.3,53.3,14.7,68.3
1,3480,25,ATLANTIC  ,MULLICA TWP,MULLICA TWP MIDDLE       ,ELA,281,740.2,10.2,18.2,31,35.5,5,40.5
1,3480,25,ATLANTIC  ,MULLICA TWP,MULLICA TWP MIDDLE       ,Math,274,730.8,13.2,25.5,38.5,19.8,2.8,22.5
1,3720,56,ATLANTIC  ,NORTHFIELD CITY,NORTHFIELD COMMUNITY M S ,ELA,324,748.5,7,12.8,31,40.8,8.8,49.5
1,3720,56,ATLANTIC  ,NORTHFIELD CITY,NORTHFIELD COMMUNITY M S ,Math,287,740.8,8,23,26.2,38.8,4,42.8
1,4180,55,ATLANTIC  ,PLEASANTVILLE,PLEASANTVILLE MIDDLE SCH ,ELA,679,717.7,28,28.3,27,15.3,1,16.7
1,4180,55,ATLANTIC  ,PLEASANTVILLE,PLEASANTVILLE MIDDLE SCH ,Math,249,720,18,41,30,10,0,11
1,4240,50,ATLANTIC  ,PORT REPUBLIC CITY,PORT REPUBLIC ELEM SCH   ,ELA,61,750.5,2,14.8,36.2,44.5,2.8,47.2
1,4240,50,ATLANTIC  ,PORT REPUBLIC CITY,PORT REPUBLIC ELEM SCH   ,Math,61,743,4,18,37.8,36.8,3.5,40.2
1,4800,55,ATLANTIC  ,SOMERS POINT CITY,JORDAN RD ELEM SCH       ,ELA,309,729.8,19.8,24.8,24.7,28,2.8,30.8
1,4800,55,ATLANTIC  ,SOMERS POINT CITY,JORDAN RD ELEM SCH       ,Math,223,726,13.4,39.4,24.6,20.8,1.4,22.4
1,5350,40,ATLANTIC  ,VENTNOR CITY,VENTNOR MIDDLE SCHOOL    ,ELA,296,751.2,6,14.5,26,44.2,9.5,54
1,5350,40,ATLANTIC  ,VENTNOR CITY,VENTNOR MIDDLE SCHOOL    ,Math,274,743.2,4.8,19,37,36.2,3,39
1,5350,45,ATLANTIC  ,VENTNOR CITY,VENTOR E.S. ,ELA,130,747,10,18.5,21.5,46.5,4,50
1,5350,45,ATLANTIC  ,VENTNOR CITY,VENTOR E.S. ,Math,130,748,7.5,14,31,38,9,47
1,5760,20,ATLANTIC  ,WEYMOUTH TWP,WEYMOUTH TWP ELEM        ,ELA,82,741.8,12.8,11.6,32,42.4,1.2,43.6
1,5760,20,ATLANTIC  ,WEYMOUTH TWP,WEYMOUTH TWP ELEM        ,Math,79,744.2,9.8,11,28,49,1.8,50.8
3,40,10,BERGEN    ,ALLENDALE BORO,BROOKSIDE                ,ELA,442,774.8,1.4,3,15.6,49.2,30.8,80.2
3,40,10,BERGEN    ,ALLENDALE BORO,BROOKSIDE                ,Math,375,763,0.4,5,25.6,57.2,11.8,68.8
3,80,10,BERGEN    ,ALPINE BORO,ALPINE ELEM              ,ELA,84,783.8,0,3.4,8.8,54.2,34,88
3,80,10,BERGEN    ,ALPINE BORO,ALPINE ELEM              ,Math,67,764.8,0,11.8,24.2,44.5,19.8,64
3,300,75,BERGEN    ,BERGENFIELD,ROY W BROWN MIDDLE       ,ELA,692,752.3,6.3,13,25.3,43.3,11.7,55
3,300,75,BERGEN    ,BERGENFIELD,ROY W BROWN MIDDLE       ,Math,584,738.3,5.3,22.7,37,34,1.3,35
3,440,20,BERGEN    ,BOGOTA,BOGOTA HIGH              ,ELA,387,745,10.8,14.4,29.6,36.6,9,45.4
3,440,20,BERGEN    ,BOGOTA,BOGOTA HIGH              ,Math,140,734,10.5,25.5,31.5,31,1,32.5
3,740,50,BERGEN    ,CARLSTADT BORO,CARLSTADT,ELA,291,751.2,5.3,14.7,27.2,43.8,8.8,52.8
3,740,50,BERGEN    ,CARLSTADT BORO,CARLSTADT,Math,282,741,6.2,19.5,39.7,32.8,2.2,35
3,890,50,BERGEN    ,CLIFFSIDE PARK,NUMBER 3                 ,ELA,177,756,0.5,12.5,25.8,52.8,8.2,61.5
3,890,50,BERGEN    ,CLIFFSIDE PARK,NUMBER 3                 ,Math,176,748.8,1.5,14.5,43,33.8,7,40.8
3,890,80,BERGEN    ,CLIFFSIDE PARK,NUMBER 6                 ,ELA,540,746,8.5,13.8,28.8,43.5,5,48.5
3,890,80,BERGEN    ,CLIFFSIDE PARK,NUMBER 6                 ,Math,517,738.3,8.5,22.3,33,33.8,2.8,36.5
3,930,50,BERGEN    ,CLOSTER BORO,HILLSIDE ELEMENTARY SCHOOL ,ELA,195,779.5,1.5,4.5,10,51,33,84
3,930,50,BERGEN    ,CLOSTER BORO,HILLSIDE ELEMENTARY SCHOOL ,Math,197,773.5,0.5,4.5,12,60.5,22.5,83
3,930,60,BERGEN    ,CLOSTER BORO,TENAKILL M.S.            ,ELA,498,785.5,0.8,3,10.2,42.5,43.5,86
3,930,60,BERGEN    ,CLOSTER BORO,TENAKILL M.S.            ,Math,450,766.2,1,6,19.5,54,19.8,74
3,990,45,BERGEN    ,CRESSKILL,CRESSKILL MIDDLE SCH ,ELA,373,771,2.3,8,16.3,40,33.7,72.7
3,990,45,BERGEN    ,CRESSKILL,CRESSKILL MIDDLE SCH ,Math,210,740.3,8.7,18.7,31.3,37,4,41
3,1070,40,BERGEN    ,DEMAREST BORO,DEMAREST MIDDLE          ,ELA,280,770.5,1,4.2,15.8,58.8,20.5,79
3,1070,40,BERGEN    ,DEMAREST BORO,DEMAREST MIDDLE          ,Math,243,760,4.5,6.8,17,59,13,72
3,1130,60,BERGEN    ,DUMONT,HONISS                   ,ELA,519,763.8,2.7,6.3,19.7,54.7,16.5,71
3,1130,60,BERGEN    ,DUMONT,HONISS                   ,Math,474,751.2,3.3,11.8,33.5,45,6.3,51.5
