"","COUNTY_CODE","DISTRICT_CODE","SCHOOL_CODE","year","COUNTY_NAME","DISTRICT_NAME","SCHOOL_NAME","prfadv.math","prfadv.read"
"1",1,10,50,2012,"ATLANTIC  ","ABSECON CITY","EMMA C ATTALES          ",74,75
"2",1,10,50,2013,"ATLANTIC  ","ABSECON CITY","EMMA C ATTALES          ",77.7,76.6
"3",1,10,50,2014,"ATLANTIC  ","ABSECON CITY","EMMA C ATTALES          ",77.7,76.5
"4",1,110,30,2012,"ATLANTIC  ","ATLANTIC CITY","SOVEREIGN AVE SCHOOL     ",67.7,45.5
"5",1,110,30,2013,"ATLANTIC  ","ATLANTIC CITY","SOVEREIGN AVE SCHOOL     ",67,51
"6",1,110,30,2014,"ATLANTIC  ","ATLANTIC CITY","SOVEREIGN AVE SCHOOL     ",67.7,50.5
"7",1,110,50,2012,"ATLANTIC  ","ATLANTIC CITY","CHELSEA HEIGHTS          ",87,74.9
"8",1,110,50,2013,"ATLANTIC  ","ATLANTIC CITY","CHELSEA HEIGHTS          ",83.4,73.5
"9",1,110,50,2014,"ATLANTIC  ","ATLANTIC CITY","CHELSEA HEIGHTS          ",81.3,79
"10",1,110,60,2012,"ATLANTIC  ","ATLANTIC CITY","TEXAS AVENUE             ",61.8,42.2
"11",1,110,60,2013,"ATLANTIC  ","ATLANTIC CITY","TEXAS AVENUE             ",64.7,36.3
"12",1,110,60,2014,"ATLANTIC  ","ATLANTIC CITY","TEXAS AVENUE             ",58.5,39.3
"13",1,110,70,2012,"ATLANTIC  ","ATLANTIC CITY","NEW YORK AVENUE SCHOOL   ",39.1,31
"14",1,110,70,2013,"ATLANTIC  ","ATLANTIC CITY","NEW YORK AVENUE SCHOOL   ",39.8,32.5
"15",1,110,70,2014,"ATLANTIC  ","ATLANTIC CITY","NEW YORK AVENUE SCHOOL   ",30.5,28.6
"16",1,110,80,2012,"ATLANTIC  ","ATLANTIC CITY","UPTOWN SCHOOL COMPLEX    ",45,37.2
"17",1,110,80,2013,"ATLANTIC  ","ATLANTIC CITY","UPTOWN SCHOOL COMPLEX    ",46.4,39.6
"18",1,110,80,2014,"ATLANTIC  ","ATLANTIC CITY","UPTOWN SCHOOL COMPLEX    ",39.9,34
"19",1,110,100,2012,"ATLANTIC  ","ATLANTIC CITY","PENNSYLVANIA AVE SCHOOL    ",66.5,37.2
"20",1,110,100,2013,"ATLANTIC  ","ATLANTIC CITY","PENNSYLVANIA AVE SCHOOL    ",47.8,32.4
"21",1,110,100,2014,"ATLANTIC  ","ATLANTIC CITY","PENNSYLVANIA AVE SCHOOL    ",35.3,29.5
"22",1,110,120,2012,"ATLANTIC  ","ATLANTIC CITY","RICHMOND AVE             ",70.4,57.8
"23",1,110,120,2013,"ATLANTIC  ","ATLANTIC CITY","RICHMOND AVE             ",68,52.4
"24",1,110,120,2014,"ATLANTIC  ","ATLANTIC CITY","RICHMOND AVE             ",67,53.2
"25",1,110,140,2012,"ATLANTIC  ","ATLANTIC CITY","DR M L KING JR SCH COMP  ",48.4,39.5
"26",1,110,140,2013,"ATLANTIC  ","ATLANTIC CITY","DR M L KING JR SCH COMP  ",52.3,40.5
"27",1,110,140,2014,"ATLANTIC  ","ATLANTIC CITY","DR M L KING JR SCH COMP  ",48.9,34
"28",1,110,300,2014,"ATLANTIC  ","ATLANTIC CITY","BRIGHTON AVENUE SCHOOL",65.7,42.4
"29",1,570,30,2012,"ATLANTIC  ","BRIGANTINE CITY","BRIGANTINE NORTH SCHOOL  ",70.2,64
"30",1,570,30,2013,"ATLANTIC  ","BRIGANTINE CITY","BRIGANTINE NORTH SCHOOL  ",65.8,64.3
"31",1,570,30,2014,"ATLANTIC  ","BRIGANTINE CITY","BRIGANTINE NORTH SCHOOL  ",61.4,61.2
"32",1,590,30,2012,"ATLANTIC  ","BUENA REGIONAL","BUENA REGIONAL MIDDLE SCHOOL",72.3,58.4
"33",1,590,30,2013,"ATLANTIC  ","BUENA REGIONAL","BUENA REGIONAL MIDDLE SCHOOL",70,61
"34",1,590,30,2014,"ATLANTIC  ","BUENA REGIONAL","BUENA REGIONAL MIDDLE SCHOOL",72.4,61.3
"35",1,1300,30,2012,"ATLANTIC  ","EGG HARBOR CITY","EGG HARBOR CITY COMMUNITY SCHOOL",56.8,38.6
"36",1,1300,30,2013,"ATLANTIC  ","EGG HARBOR CITY","EGG HARBOR CITY COMMUNITY SCHOOL",53.8,37.6
"37",1,1300,30,2014,"ATLANTIC  ","EGG HARBOR CITY","EGG HARBOR CITY COMMUNITY SCHOOL",58.6,35.8
"38",1,1310,38,2012,"ATLANTIC  ","EGG HARBOR TOWNSHIP","ALDER AVENUE MIDDLE",64,62.6
"39",1,1310,38,2013,"ATLANTIC  ","EGG HARBOR TOWNSHIP","ALDER AVENUE MIDDLE",65.3,64.3
"40",1,1310,38,2014,"ATLANTIC  ","EGG HARBOR TOWNSHIP","ALDER AVENUE MIDDLE",68.3,64
"41",1,1310,39,2012,"ATLANTIC  ","EGG HARBOR TOWNSHIP","FERNWOOD AVENUE MIDDLE",69,65.3
"42",1,1310,39,2013,"ATLANTIC  ","EGG HARBOR TOWNSHIP","FERNWOOD AVENUE MIDDLE",72.7,69.7
"43",1,1310,39,2014,"ATLANTIC  ","EGG HARBOR TOWNSHIP","FERNWOOD AVENUE MIDDLE",75.6,68.7
"44",1,1410,50,2012,"ATLANTIC  ","ESTELL MANOR CITY","ESTELL MANOR ELEM SCH    ",85.2,77
"45",1,1410,50,2013,"ATLANTIC  ","ESTELL MANOR CITY","ESTELL MANOR ELEM SCH    ",82,74.3
"46",1,1410,50,2014,"ATLANTIC  ","ESTELL MANOR CITY","ESTELL MANOR ELEM SCH    ",72.8,73.3
"47",1,1540,50,2012,"ATLANTIC  ","FOLSOM BORO","FOLSOM                   ",77.9,56.8
"48",1,1540,50,2013,"ATLANTIC  ","FOLSOM BORO","FOLSOM                   ",69.3,56.5
"49",1,1540,50,2014,"ATLANTIC  ","FOLSOM BORO","FOLSOM                   ",73,61.5
"50",1,1690,16,2012,"ATLANTIC  ","GALLOWAY TWP","GALLOWAY TWP MIDDLE SCH  ",67.5,71.5
"51",1,1690,16,2013,"ATLANTIC  ","GALLOWAY TWP","GALLOWAY TWP MIDDLE SCH  ",64,75.5
"52",1,1690,16,2014,"ATLANTIC  ","GALLOWAY TWP","GALLOWAY TWP MIDDLE SCH  ",73.5,75.5
